case,algo,timestep,n_seeds,avg_return_mean,avg_return_std,avg_return_ci95,success_rate_mean,success_rate_std,success_rate_ci95,hole_rate_mean,hole_rate_std,hole_rate_ci95,avg_episode_length_mean,avg_episode_length_std,avg_episode_length_ci95
case3_hard_slippery_8x8,DQN-Safe,82000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.022,0.04919349550499537,0.04311999999999999,97.436,3.919763066819217,3.435823815855521
case3_hard_slippery_8x8,DQN-Safe,84000,5,0.032,0.06879316826546078,0.060299870646627424,0.032,0.06879316826546078,0.060299870646627424,0.05,0.04730221982106125,0.04146222377056011,97.03400000000002,1.87657067546096,1.6448867212060538
case3_hard_slippery_8x8,DQN-Safe,86000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.06,0.09993748045653342,0.08759906392193925,95.59,5.9759141560099405,5.238119709972272
case3_hard_slippery_8x8,DQN-Safe,88000,5,0.061,0.13640014662748717,0.11956,0.061,0.13640014662748717,0.11956,0.037,0.051429563482495166,0.04508,96.276,6.62217052785565,5.8045883958813125
case3_hard_slippery_8x8,DQN-Safe,90000,5,0.023,0.05142956348249516,0.045079999999999995,0.023,0.05142956348249516,0.045079999999999995,0.019,0.042485291572496,0.037239999999999995,98.296,3.81025983365964,3.3398399999999984
case3_hard_slippery_8x8,DQN-Safe,92000,5,0.062,0.13863621460498696,0.12151999999999999,0.062,0.13863621460498696,0.12151999999999999,0.041,0.05116150896914593,0.04484503985949839,96.401,4.954374834426638,4.342701014990553
case3_hard_slippery_8x8,DQN-Safe,94000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.006,0.01341640786499874,0.01176,98.002,3.8745590071645575,3.3962007105587855
case3_hard_slippery_8x8,DQN-Safe,96000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.052000000000000005,0.05772780958948643,0.050600656122228305,95.77799999999999,5.3318929565399165,4.6736102390336285
case3_hard_slippery_8x8,DQN-Safe,98000,5,0.063,0.14087228258248677,0.12348,0.063,0.14087228258248677,0.12348,0.009000000000000001,0.00894427190999916,0.00784,97.65400000000001,4.7895164160904615,4.198196240005941
case3_hard_slippery_8x8,DQN-Safe,100000,5,0.061,0.13640014662748717,0.11956,0.061,0.13640014662748717,0.11956,0.005,0.011180339887498949,0.0098,97.752,5.026680813419524,4.4060799999999976
case3_hard_slippery_8x8,DQN-Safe,102000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.013000000000000001,0.029068883707497266,0.02548,97.601,3.8640658638278933,3.387003064893801
case3_hard_slippery_8x8,DQN-Safe,104000,5,0.061,0.13640014662748717,0.11956,0.061,0.13640014662748717,0.11956,0.022,0.02413503677229434,0.021155292482024444,97.001,5.392635487403167,4.726853414862787
case3_hard_slippery_8x8,DQN-Safe,106000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.027000000000000003,0.02564176280991617,0.022475996084712242,97.088,3.4492981170087353,3.0234431052030737
case3_hard_slippery_8x8,DQN-Safe,108000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.022360679774997897,0.0196,99.683,0.7088335488674306,0.6213199999999975
case3_hard_slippery_8x8,DQN-Safe,110000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.032,0.07155417527999328,0.06272,97.001,4.22048634638237,3.699419392499315
case3_hard_slippery_8x8,DQN-Safe,112000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.047,0.10509519494249013,0.09212000000000001,96.442,4.872012674449854,4.2705073987056865
case3_hard_slippery_8x8,DQN-Safe,114000,5,0.031,0.06931810730249348,0.060759999999999995,0.031,0.06931810730249348,0.060759999999999995,0.015,0.023979157616563596,0.02101865837773667,98.32699999999998,2.248515065548818,1.9709103537198247
case3_hard_slippery_8x8,DQN-Safe,116000,5,0.041,0.0833966426182733,0.07310038029996833,0.041,0.0833966426182733,0.07310038029996833,0.05500000000000001,0.09460443964212249,0.0829244475411202,96.36,4.897121603554478,4.29251634545519
case3_hard_slippery_8x8,DQN-Safe,118000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.03193743884534263,0.027994399439887973,99.074,1.3690206353448438,1.1999994956665605
case3_hard_slippery_8x8,DQN-Safe,120000,5,0.026000000000000002,0.05813776741499454,0.050960000000000005,0.026000000000000002,0.05813776741499454,0.050960000000000005,0.045,0.05135659646043535,0.045016041585194934,97.713,2.470216589694112,2.1652403077718665
