case,algo,seed,timestep,eval_return_mean,eval_success_rate,eval_hole_rate,eval_episode_length_mean
case3_hard_slippery_8x8,DQN-Safe,0,16000,0.045,0.045,0.48,81.255
case3_hard_slippery_8x8,DQN-Safe,0,18000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,20000,0.03,0.03,0.17,92.975
case3_hard_slippery_8x8,DQN-Safe,0,22000,0.02,0.02,0.265,90.59
case3_hard_slippery_8x8,DQN-Safe,0,24000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,26000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,28000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,30000,0.0,0.0,0.08,96.64
case3_hard_slippery_8x8,DQN-Safe,0,32000,0.0,0.0,0.035,98.475
case3_hard_slippery_8x8,DQN-Safe,0,34000,0.0,0.0,0.185,94.19
case3_hard_slippery_8x8,DQN-Safe,0,36000,0.0,0.0,0.075,97.37
case3_hard_slippery_8x8,DQN-Safe,0,38000,0.0,0.0,0.065,97.505
case3_hard_slippery_8x8,DQN-Safe,0,40000,0.005,0.005,0.215,92.82
case3_hard_slippery_8x8,DQN-Safe,0,42000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,44000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,46000,0.0,0.0,0.09,96.63
case3_hard_slippery_8x8,DQN-Safe,0,48000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,50000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,52000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,54000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,56000,0.0,0.0,0.175,92.68
case3_hard_slippery_8x8,DQN-Safe,0,58000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,60000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,62000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,64000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,66000,0.0,0.0,0.005,99.715
case3_hard_slippery_8x8,DQN-Safe,0,68000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,70000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,72000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,74000,0.0,0.0,0.295,88.91
case3_hard_slippery_8x8,DQN-Safe,0,76000,0.0,0.0,0.15,94.565
case3_hard_slippery_8x8,DQN-Safe,0,78000,0.0,0.0,0.04,98.42
case3_hard_slippery_8x8,DQN-Safe,0,80000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,82000,0.0,0.0,0.11,96.055
case3_hard_slippery_8x8,DQN-Safe,0,84000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,86000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,88000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,90000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,92000,0.0,0.0,0.125,95.115
case3_hard_slippery_8x8,DQN-Safe,0,94000,0.0,0.0,0.03,98.885
case3_hard_slippery_8x8,DQN-Safe,0,96000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,98000,0.0,0.0,0.015,99.495
case3_hard_slippery_8x8,DQN-Safe,0,100000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,102000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,104000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,106000,0.0,0.0,0.055,97.685
case3_hard_slippery_8x8,DQN-Safe,0,108000,0.0,0.0,0.05,98.415
case3_hard_slippery_8x8,DQN-Safe,0,110000,0.0,0.0,0.16,93.88
case3_hard_slippery_8x8,DQN-Safe,0,112000,0.0,0.0,0.235,91.085
case3_hard_slippery_8x8,DQN-Safe,0,114000,0.0,0.0,0.055,97.41
case3_hard_slippery_8x8,DQN-Safe,0,116000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,0,118000,0.0,0.0,0.05,98.415
case3_hard_slippery_8x8,DQN-Safe,0,120000,0.0,0.0,0.045,97.92
case3_hard_slippery_8x8,DQN-Safe,1,2000,0.0,0.0,0.0,100.0
case3_hard_slippery_8x8,DQN-Safe,1,4000,0.0,0.0,0.23,91.115
