case,algo,timestep,n_seeds,success_rate_mean,success_rate_std,success_rate_ci95,avg_return_mean,avg_return_std,avg_return_ci95,hole_rate_mean,hole_rate_std,hole_rate_ci95,avg_episode_length_mean,avg_episode_length_std,avg_episode_length_ci95
case2_slippery_4x4,PPO,60000,5,0.48999999999999994,0.23735521902835843,0.20805102258821032,0.48999999999999994,0.23735521902835843,0.20805102258821032,0.481,0.2663737975101905,0.23348692811375968,29.316000000000003,11.113841257639054,9.74171138094329
case3_hard_slippery_8x8,DQN,2000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.012747548783981974,0.011173719165971562,21.715999999999998,11.229147563372742,9.842781814182409
case3_hard_slippery_8x8,DQN,4000,5,0.006,0.0108397416943394,0.009501452520536004,0.006,0.0108397416943394,0.009501452520536004,0.821,0.2256213642366343,0.19776584538286685,43.886,31.668796038056136,27.75892363701446
case3_hard_slippery_8x8,DQN,6000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.378,0.3892717559751799,0.34121173836783514,74.59,39.77261730764019,34.8622361696435
case3_hard_slippery_8x8,DQN,8000,5,0.004,0.008944271909999158,0.007839999999999998,0.004,0.008944271909999158,0.007839999999999998,0.33599999999999997,0.40665402985830595,0.3564479732022613,75.911,40.18519012024206,35.22387218466476
case3_hard_slippery_8x8,DQN,10000,5,0.028000000000000004,0.04162331077653483,0.036484440519213124,0.028000000000000004,0.04162331077653483,0.036484440519213124,0.6070000000000001,0.3396063898103215,0.29767812549799494,57.038,35.98398160987747,31.541350560469027
case3_hard_slippery_8x8,DQN,12000,5,0.018,0.04024922359499621,0.03528,0.018,0.04024922359499621,0.03528,0.449,0.4391810560577494,0.3849591687439072,69.64500000000001,37.66201733842732,33.01221372789168
case3_hard_slippery_8x8,DQN,14000,5,0.002,0.004472135954999579,0.003919999999999999,0.002,0.004472135954999579,0.003919999999999999,0.654,0.3212748044898635,0.2816097825005375,61.38900000000001,29.300460405939017,25.68298592597052
case3_hard_slippery_8x8,DQN,16000,5,0.001,0.00223606797749979,0.00196,0.001,0.00223606797749979,0.00196,0.26399999999999996,0.4209423951088795,0.36897227754941153,82.502,31.21523698452408,27.36136159781526
case3_hard_slippery_8x8,DQN,18000,5,0.04,0.0557897840110535,0.048901901803508625,0.04,0.0557897840110535,0.048901901803508625,0.29800000000000004,0.32639316782065153,0.28609622577028165,82.968,21.696471660157094,19.017795917571515
case3_hard_slippery_8x8,DQN,20000,5,0.011,0.024596747752497684,0.021559999999999996,0.011,0.024596747752497684,0.021559999999999996,0.39099999999999996,0.47781272482009096,0.4188213194191527,76.47200000000001,30.186110754782568,26.459292684620273
case3_hard_slippery_8x8,DQN,22000,5,0.032999999999999995,0.06320601237224192,0.05540251257840206,0.032999999999999995,0.06320601237224192,0.05540251257840206,0.44699999999999995,0.43737283866285065,0.38337419631477543,68.557,32.679775397025,28.645086116651843
case3_hard_slippery_8x8,DQN,24000,5,0.001,0.0022360679774997894,0.0019599999999999995,0.001,0.0022360679774997894,0.0019599999999999995,0.636,0.3873209263646879,0.33950176082017597,59.189,30.604870813319895,26.826352059823563
case3_hard_slippery_8x8,DQN,26000,5,0.037,0.08273451516749221,0.07251999999999999,0.037,0.08273451516749221,0.07251999999999999,0.305,0.447548880012005,0.3922938898326101,75.829,38.33259324647891,33.599999427166665
case3_hard_slippery_8x8,DQN,28000,5,0.039,0.0790885579587844,0.06932417760060337,0.039,0.0790885579587844,0.06932417760060337,0.34099999999999997,0.38654559886254036,0.3388221563003222,75.566,38.57159113259395,33.80949031094081
case3_hard_slippery_8x8,DQN,30000,5,0.093,0.13367871932360811,0.11717456379265935,0.093,0.13367871932360811,0.11717456379265935,0.142,0.1955952453409847,0.1714467917460108,89.74600000000001,15.128336987256727,13.26057203689192
case3_hard_slippery_8x8,DQN,32000,5,0.04,0.08944271909999159,0.0784,0.04,0.08944271909999159,0.0784,0.233,0.4299069666800016,0.37683007098691046,82.755,32.52072493041937,28.50567223582001
case3_hard_slippery_8x8,DQN,34000,5,0.077,0.06951618516575835,0.06093362290230247,0.077,0.06951618516575835,0.06093362290230247,0.546,0.2024969135567256,0.17749637066712098,65.312,23.20979523821785,20.34428251943037
case3_hard_slippery_8x8,DQN,36000,5,0.06,0.07558108228915487,0.06624973962212984,0.06,0.07558108228915487,0.06624973962212984,0.4739999999999999,0.38918825778792454,0.34113854897973633,70.436,26.975752862524523,23.64528992077703
case3_hard_slippery_8x8,DQN,38000,5,0.044,0.068044103344816,0.05964328629443552,0.044,0.068044103344816,0.05964328629443552,0.627,0.29558416737031096,0.2590909461945747,61.111000000000004,23.868061138265926,20.921278020943177
case3_hard_slippery_8x8,DQN,40000,5,0.076,0.06776798654231952,0.05940125924591161,0.076,0.06776798654231952,0.05940125924591161,0.5619999999999999,0.34421287018355373,0.30171588357260876,57.025,35.940433184645954,31.50317868272978
case3_hard_slippery_8x8,DQN,42000,5,0.062,0.11048755586037733,0.0968466127440707,0.062,0.11048755586037733,0.0968466127440707,0.404,0.33397978980770676,0.2927461931434805,74.774,26.085563632016846,22.8650046569337
case3_hard_slippery_8x8,DQN,44000,5,0.08399999999999999,0.07528280016046163,0.06598828380856711,0.08399999999999999,0.07528280016046163,0.06598828380856711,0.337,0.3632079294288604,0.31836578710659225,73.75800000000001,33.26723718615659,29.160019078567146
case3_hard_slippery_8x8,DQN,46000,5,0.085,0.07858116822750856,0.06887943089195786,0.085,0.07858116822750856,0.06887943089195786,0.398,0.3073393889497407,0.2693948522151082,75.55999999999999,23.37486283382215,20.4889706463746
case3_hard_slippery_8x8,DQN,48000,5,0.14700000000000002,0.10238408079384216,0.08974360367179378,0.14700000000000002,0.10238408079384216,0.08974360367179378,0.38499999999999995,0.14357054015361226,0.12584512704113732,75.816,9.963482950253892,8.73337786641572
